"region","distrito","municipio_escolar","c_digo_escuela","nombre_escuela","matr_cula_m1","matr_cula_m1_entre_5_y_17_a_os_2013_2014","m1_entre_5_y_17_a_os_bajo_nivel_pobreza_2013_2014","bnp_2013_2014"
"ARECIBO","MANATI","BARCELONETA","10728","JOSE CORDERO ROSARIO","217","214","147","68.69"
"ARECIBO","MANATI","BARCELONETA","10736","PRIMITIVO MARCHAND","162","145","115","79.31"
"ARECIBO","MANATI","BARCELONETA","10744","IMBERY","283","275","227","82.55"
"ARECIBO","MANATI","FLORIDA","10769","ADOLFO EGUEN","181","172","143","83.14"
"ARECIBO","MANATI","BARCELONETA","10785","AGUSTIN BALSEIRO","128","124","98","79.03"
"ARECIBO","MANATI","FLORIDA","10827","JUAN PONCE DE LEON II","557","538","404","75.09"
"ARECIBO","MANATI","BARCELONETA","10835","DR FRANCISCO VAZQUEZ COLON (S.U.MAGUEYES)","268","268","214","79.85"
"ARECIBO","CAMUY","CAMUY","10850","JOSE M. HERNANDEZ","133","128","105","82.03"
"ARECIBO","CAMUY","CAMUY","10892","S. U. JOAQUIN VAZQUEZ CRUZ ","442","429","335","78.09"
"ARECIBO","CAMUY","CAMUY","10926","PABLO AVILA GONZALEZ","348","346","274","79.19"
"ARECIBO","CAMUY","CAMUY","10942","JULIAN BLANCO","78","75","63","84.00"
