"ps","pobl","pmb","area","compl","nro_edif","tiposecurb","urb","ste","nro","nro_apart","tipo_via","calle","sector","cod_post","pais","x","y","lat","lon","location"
"430991","CAROLINA","BUENA VISTA",,,,"URB","VILLA COOP",,"H-2",,"CALLE","7",,"985","PR","250513","263232","18.404","-65.9553","(18.404, -65.9553)"
"109780","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"H-16",,"CALLE","LUIS VIGO",,"987","PR","247460","261339","18.387","-65.9842","(18.387, -65.9842)"
"109720","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"A-10",,"CALLE","ROMAN RIVERA",,"987","PR","247479","261305","18.3867","-65.984","(18.3867, -65.984)"
"109843","CAROLINA","CANOVANILLAS",,,,"URB","PARQ ECUESTRE",,"D-21",,"CALLE","CANARIO",,"987","PR","253533","259534","18.3705","-65.9268","(18.3705, -65.9268)"
"109841","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"132-32",,"CALLE","100",,"985","PR","249569","262924","18.4013","-65.9642","(18.4013, -65.9642)"
"109831","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"H-3",,"CALLE","LUIS VIGO",,"987","PR","247380","261322","18.3868","-65.985","(18.3868, -65.985)"
"109823","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"H-1",,"CALLE","LUIS VIGO",,"987","PR","247394","261298","18.3866","-65.9848","(18.3866, -65.9848)"
"109810","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"H-19",,"CALLE","LUIS VIGO",,"987","PR","247423","261321","18.3868","-65.9846","(18.3868, -65.9846)"
"109791","CAROLINA","SAN ANTON",,,,"URB","VILLAS DE SAN ANTON",,"H-17",,"CALLE","LUIS VIGO",,"987","PR","247449","261334","18.387","-65.9843","(18.387, -65.9843)"
"86287","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"100-17",,"CALLE","102",,"985","PR","250244","263457","18.4061","-65.9578","(18.4061, -65.9578)"
"86321","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"122-11",,"CALLE","64",,"985","PR","249613","262012","18.393","-65.9638","(18.393, -65.9638)"
"86365","CAROLINA","TRUJILLO BAJO",,,,"URB","LOMAS DE CAROLINA",,"P-10",,"CALLE","CERRO MARAVILLA",,"987","PR","251491","259485","18.3702","-65.9461","(18.3702, -65.9461)"
"86363","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"100-22",,"CALLE","102",,"985","PR","250317","263461","18.4061","-65.9571","(18.4061, -65.9571)"
"86358","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"122-15",,"CALLE","63",,"985","PR","249595","261954","18.3925","-65.964","(18.3925, -65.964)"
"86355","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"100-21",,"CALLE","102",,"985","PR","250302","263461","18.4061","-65.9573","(18.4061, -65.9573)"
"86348","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"122-14",,"CALLE","63",,"985","PR","249596","261967","18.3926","-65.964","(18.3926, -65.964)"
"86340","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"122-13",,"CALLE","63",,"985","PR","249597","261983","18.3928","-65.964","(18.3928, -65.964)"
"86462","CAROLINA","TRUJILLO BAJO",,,,"URB","LOMAS DE CAROLINA",,"P-13",,"CALLE","CERRO MARAVILLA",,"987","PR","251451","259507","18.3704","-65.9465","(18.3704, -65.9465)"
"86461","CAROLINA","MARTIN GONZALEZ",,,,"URB","VILLA CAROLINA 3RA SECC",,"122-19",,"CALLE","63",,"985","PR","249599","261900","18.392","-65.9639","(18.392, -65.9639)"
"86448","CAROLINA","TRUJILLO BAJO",,,,"URB","LOMAS DE CAROLINA",,"P-12",,"CALLE","CERRO MARAVILLA",,"987","PR","251468","259498","18.3703","-65.9463","(18.3703, -65.9463)"
"86403","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"122-17",,"CALLE","63",,"985","PR","249597","261929","18.3923","-65.964","(18.3923, -65.964)"
"86509","CAROLINA","SAN ANTON",,,," "," ",,"21",,"CALLE","7",,"987","PR","246652","260702","18.3812667","-65.9918688","(18.3812667, -65.9918688)"
"86484","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"101-2",,"CALLE","107",,"985","PR","250436","263421","18.4057","-65.956","(18.4057, -65.956)"
"86479","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"101-1",,"CALLE","107",,"985","PR","250437","263437","18.4059","-65.956","(18.4059, -65.956)"
"86470","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"100-31",,"CALLE","102",,"985","PR","250449","263464","18.4061","-65.9559","(18.4061, -65.9559)"
"86465","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"100-30",,"CALLE","102",,"985","PR","250435","263465","18.4061","-65.956","(18.4061, -65.956)"
"86545","CAROLINA","TRUJILLO BAJO",,,,"URB","LOMAS DE CAROLINA",,"P-1",,"CALLE","LA TORRECILLA",,"987","PR","251483","259534","18.3706","-65.9462","(18.3706, -65.9462)"
"86668","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"102-8",,"CALLE","106",,"985","PR","250378","263413","18.4057","-65.9565","(18.4057, -65.9565)"
"86555","CAROLINA","MARTIN GONZALEZ",,,,"URB","VILLA CAROLINA 3RA SECC",,"122-21",,"CALLE","63",,"985","PR","249604","261855","18.3916","-65.9639","(18.3916, -65.9639)"
"86603","CAROLINA","TRUJILLO BAJO",,,,"URB","LOMAS DE CAROLINA",,"P-5",,"CALLE","LA TORRECILLA",,"987","PR","251529","259507","18.3704","-65.9457","(18.3704, -65.9457)"
"86708","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"101-12",,"CALLE","106",,"985","PR","250360","263321","18.4048","-65.9567","(18.4048, -65.9567)"
"86758","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"101-18",,"CALLE","106",,"985","PR","250354","263416","18.4057","-65.9568","(18.4057, -65.9568)"
"477671","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"150-7",,"CALLE","424",,"985","PR","249594","263786","18.4091","-65.9639","(18.4091, -65.9639)"
"477611","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-12",,"CALLE","420",,"985","PR","249557","263813","18.4093","-65.9643","(18.4093, -65.9643)"
"477592","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-10",,"CALLE","420",,"985","PR","249558","263838","18.4095","-65.9643","(18.4095, -65.9643)"
